Correlation between Frequency and 1st PC,Correlation between Frequency and 2nd PC,Correlation between Orientation and 1st PC,Correlation between Orientation and 2nd PC,Layer,P-value for Correlation between Frequency and 1st PC,P-value for Correlation between Frequency and 2nd PC,P-value for Correlation between Orientation and 1st PC,P-value for Correlation between Orientation and 2nd PC,Frequency,Orientation
-0.7044473869391535,-0.0038276928084312466,-0.0030745418098805616,0.5792944852300886,0,2.1689244127715698e-13,0.9729457986252886,0.9782676337652743,1.4629760836362793e-08,0.7044473869391535,0.5792944852300886
-0.7044473869391535,-0.0038276928084312466,-0.0030745418098805616,0.5792944852300886,1,2.1689244127715698e-13,0.9729457986252886,0.9782676337652743,1.4629760836362793e-08,0.7044473869391535,0.5792944852300886
-0.7044473869391535,-0.0038276928084312466,-0.0030745418098805616,0.5792944852300886,2,2.1689244127715698e-13,0.9729457986252886,0.9782676337652743,1.4629760836362793e-08,0.7044473869391535,0.5792944852300886
-0.697393389053276,-0.004758631810009667,-0.0039051742121051043,0.5751824458346803,3,4.719406054064066e-13,0.9663693545054473,0.9723983708781481,1.951008018762176e-08,0.697393389053276,0.5751824458346803
-0.6973933883816263,-0.004758628307637809,-0.0039051727993611495,0.5751824462166625,4,4.719406398388073e-13,0.966369379243284,0.972398380859501,1.951007966947216e-08,0.6973933883816263,0.5751824462166625
-0.6973933883815794,-0.0047586283080398965,-0.003905172799675856,0.5751824462166423,5,4.71940639841219e-13,0.9663693792404826,0.9723983808572916,1.951007966949952e-08,0.6973933883815794,0.5751824462166423
0.5681667441392174,-0.4865563208937308,0.7324859402425864,0.35642510823920254,6,3.1596674400356095e-08,4.115137870008426e-06,7.763916412962315e-15,0.0010910351359007153,0.5681667441392174,0.7324859402425864
0.5179825881020474,-0.1861173421763252,0.7624252150456097,0.1104693896114341,7,7.326072555578376e-07,0.09619421625280543,1.352879752805451e-16,0.32620803715392277,0.5179825881020474,0.7624252150456097
0.4096257818674344,0.8349139257726399,0.8148933170534054,-0.46681554909035644,8,0.00014623013737901733,3.4689064223042035e-22,2.117241076202495e-20,1.1183846127811192e-05,0.8349139257726399,0.8148933170534054
0.6323387896558944,0.5663681853171468,0.6713511518685112,-0.5762038939780272,9,2.4226150713455894e-10,3.568924750541327e-08,6.927625450830579e-12,1.8170361004314937e-08,0.6323387896558944,0.6713511518685112
0.4417468698815802,0.56947877162359,0.807840460898135,-0.3927604191691827,10,3.6530116076523926e-05,2.8897134477280196e-08,8.018399327184297e-20,0.0002869591126439876,0.56947877162359,0.807840460898135
-0.38029495947825953,0.5531479158483611,-0.8339275272630684,-0.431406728618303,11,0.000461756192195159,8.54791305470354e-08,4.301884818404558e-22,5.797202591753928e-05,0.5531479158483611,0.8339275272630684
-0.25810432473165473,0.5241340443647594,-0.8883994290224654,-0.3116233921505197,12,0.01999716592998532,5.119070337221877e-07,1.950987508604164e-28,0.004627239524486347,0.5241340443647594,0.8883994290224654
-0.4710043755376274,0.38072754671257775,-0.8002144983685399,-0.4195793657508554,13,9.092669242158485e-06,0.00045433828466695205,3.1854316678046624e-19,9.656343895693279e-05,0.4710043755376274,0.8002144983685399
-0.2114456121587979,0.07592001029258981,-0.9302926915679107,0.09025731032705873,14,0.05810330209532791,0.5005445561966864,3.748964317157286e-36,0.42294205875926394,0.2114456121587979,0.9302926915679107
-0.2353147202654644,-0.16298604019560534,-0.9189524249807499,0.22764076864848704,15,0.03445482616454957,0.14599738150331656,1.158095330389669e-33,0.0409692468752621,0.2353147202654644,0.9189524249807499
-0.3323198948887072,-0.8730103145154148,-0.8846925333162273,0.28147682447004985,16,0.002437171253071651,2.3619205091610706e-26,6.58949263544842e-28,0.010908700532099264,0.8730103145154148,0.8846925333162273
-0.24447526151669086,-0.9091298137741143,-0.9040888118036701,0.23107610233694761,17,0.027837286824544772,8.763035715640594e-32,6.696251471212094e-31,0.03793643904648254,0.9091298137741143,0.9040888118036701
-0.5524415213722034,-0.7268163425297345,-0.7506563061805147,0.5307282273328635,18,8.946814804468793e-08,1.57342382179195e-14,7.115764049706317e-16,3.458303301536656e-07,0.7268163425297345,0.7506563061805147
-0.5930466347796243,-0.6600738036132419,-0.7089869829776475,0.522436271433358,19,5.423932782967232e-09,2.042640621601752e-11,1.2992098084037462e-13,5.655416659980947e-07,0.6600738036132419,0.7089869829776475
-0.7146889805789937,0.5430354353710651,-0.5839791598957108,-0.5828516024645866,20,6.730444866705102e-14,1.626010545684526e-07,1.0487845564908239e-08,1.136807458074634e-08,0.7146889805789937,0.5839791598957108
-0.8183420602676367,0.44423921895005924,-0.3657817989702396,-0.7348091956698304,21,1.081295833452775e-20,3.260835148583716e-05,0.0007849644427596647,5.78259141755925e-15,0.8183420602676367,0.7348091956698304
-0.879278952480946,-0.27465880990467495,-0.2654672945661175,0.8759391530044839,22,3.623668667216919e-27,0.013085631660961546,0.016610536835049875,9.962751995937208e-27,0.879278952480946,0.8759391530044839
-0.8517797080365808,0.04418282191892454,-0.11973782160670526,-0.8377071680263236,23,6.919106147838619e-24,0.6953122409725567,0.28699949018311915,1.8713183947877053e-22,0.8517797080365808,0.8377071680263236
-0.8639280205437196,-0.022964319679420718,-0.07851845590403313,-0.7963373364786317,24,3.0149876736057164e-25,0.838749469979735,0.4859534207182342,6.279668386729974e-19,0.8639280205437196,0.7963373364786317
0.5081989513034239,-0.1871673917792202,-0.30152921617755635,-0.07231638509968953,25,1.2772183391759395e-06,0.09429862105828535,0.006227348825518722,0.5211509374428642,0.5081989513034239,0.30152921617755635
