Frequency,Image,Orientation,1st PC Layer 0,2nd PC Layer 0,1st PC Layer 1,2nd PC Layer 1,1st PC Layer 2,2nd PC Layer 2,1st PC Layer 3,2nd PC Layer 3,1st PC Layer 4,2nd PC Layer 4,1st PC Layer 5,2nd PC Layer 5,1st PC Layer 6,2nd PC Layer 6,1st PC Layer 7,2nd PC Layer 7,1st PC Layer 8,2nd PC Layer 8,1st PC Layer 9,2nd PC Layer 9,1st PC Layer 10,2nd PC Layer 10,1st PC Layer 11,2nd PC Layer 11,1st PC Layer 12,2nd PC Layer 12,1st PC Layer 13,2nd PC Layer 13,1st PC Layer 14,2nd PC Layer 14,1st PC Layer 15,2nd PC Layer 15,1st PC Layer 16,2nd PC Layer 16,1st PC Layer 17,2nd PC Layer 17,1st PC Layer 18,2nd PC Layer 18,1st PC Layer 19,2nd PC Layer 19,1st PC Layer 20,2nd PC Layer 20,1st PC Layer 21,2nd PC Layer 21,1st PC Layer 22,2nd PC Layer 22,1st PC Layer 23,2nd PC Layer 23,1st PC Layer 24,2nd PC Layer 24,1st PC Layer 25,2nd PC Layer 25
10,f10o01_left,1,1463.9063864463578,-3429.799218696282,1463.9063864463578,-3429.799218696282,1463.9063864463578,-3429.799218696282,1531.056338272452,-3629.259430485931,1531.0563212745787,-3629.2594350054533,11.961377509972923,-28.353589335972828,-50.03151636109683,14.257197471463865,-71.51571527950581,13.335949145539384,-78.54200755403332,-17.10232408441866,-139.99265094684387,-49.377895052300794,-124.55827796237617,-67.82275739380222,273.8294460547252,-139.62109345547896,137.5422095513847,-113.178404169561,136.81199300520274,-75.02137591925454,111.12488596749243,94.40781771573938,89.40638984090509,75.10874830947844,90.55986935621124,8.751099512999636,65.15809564388836,30.296551619505227,91.54203403416682,0.8016885428644124,73.90126881367615,-26.517293067468394,28.27561631279539,17.221206660336037,38.486196827317684,25.279506478674914,25.119029294857288,-19.238193608893344,24.450747123499525,81.35302048648147,1.5389892818540436,6.129444999136658,-0.17323590714325393,-0.06774023006253674
10,f10o11_left,11,2965.9493928083652,-4661.042793150048,2965.9493928083652,-4661.042793150048,2965.9493928083652,-4661.042793150048,3121.7186211136623,-4929.676574191847,3121.7185963823486,-4929.676585568652,24.38842653426268,-38.51309832473782,-53.81509887848976,17.457231952449735,-70.2248768524385,13.821297275445513,-81.2049472154809,-26.690108332004208,-134.1411494816811,-45.30469334589831,-117.90564705473982,-54.98565751401404,253.444192884369,-111.88444536757713,129.00664649331696,-87.76837732992934,141.92598241566452,-56.04082397191323,113.31254726052838,47.11985578762488,85.14250896282098,42.33573303047267,89.98335547921093,30.741349050406313,64.32379976569412,41.954307059806816,95.79170582442937,21.77991491931879,84.12436462053142,1.658298653252138,36.12309365877342,5.305631183923211,48.05393841350116,15.643882839207157,32.985307449419345,-15.368339600523898,68.15035201153836,93.0005153691359,4.878152255635293,7.601269239120271,-0.07622695266026257,-0.03864040278960338
10,f10o21_left,21,4476.375607331065,-4430.575118240022,4476.375607331065,-4430.575118240022,4476.375607331065,-4430.575118240022,4726.980807846769,-4683.024539896769,4726.980781603262,-4683.024557848411,36.92953735630443,-36.58612935816667,-53.27712530652764,20.30797803054269,-66.01219328565251,13.817326168211308,-80.13071974471951,-41.465323212439806,-124.19403707331219,-42.113654115645346,-104.13162885332034,-45.9273120458702,213.27513962323846,-91.16148621662748,107.0277777966167,-66.88672984128081,130.30086861405888,-39.321332858363746,92.15824384985073,-1.2323444968643957,62.424126453854164,9.359115414742972,73.444939316386,59.83603903786673,46.93694895615334,53.74112201102836,80.96659155291245,43.304941068346515,74.925970300842,25.028317279284195,35.16133781947519,-5.660810168892343,47.345224454634476,4.437610832321519,35.342297359448104,-8.713743922194375,111.01763180549264,66.1934153021053,7.888720019905162,4.802293361541124,-0.12665157237445912,-0.005900334606895391
10,f10o31_left,31,5583.718250696175,-2666.5330832686564,5583.718250696175,-2666.5330832686564,5583.718250696175,-2666.5330832686564,5904.962490783429,-2813.931706440542,5904.962479355168,-2813.931724987862,46.1325193699773,-21.983841601437707,-48.96483044443436,23.341398616637708,-59.94665056140067,14.100129821808125,-74.40427045765958,-59.13655726581103,-111.9013165250843,-42.09132601746214,-86.19508848808692,-42.142083287349315,164.38177725373086,-84.60856087598441,78.2989366139445,-55.522430014825474,105.91933735676635,-29.787122102177012,59.08232038507279,-31.110482609694436,37.65758322801326,-5.5009366465467355,49.14950705509182,77.08494656545143,24.882139618934833,62.070261323874085,58.87747071498168,61.71478932394619,58.44495202721219,45.27448053434905,29.80468004300958,-14.967493093527505,42.007820534988056,-5.726148250946429,35.9554200751627,0.783167803373905,127.11532800259126,18.154293084932767,9.236529022755871,0.6251342352879787,-0.1602296030953045,-0.024229344340585005
10,f10o41_left,41,5981.315259753161,33.173953195412835,5981.315259753161,33.173953195412835,5981.315259753161,33.173953195412835,6325.487973902563,43.97675352519461,6325.487980638446,43.97673128572385,49.41787484873943,0.3435682132015421,-43.56696708873218,26.786724268067875,-53.074103334323155,14.879045133286589,-65.38491468966073,-77.08126967180335,-99.94250644721117,-46.20208563376384,-68.54341202635278,-44.809758440135866,118.4610408878828,-94.91335695869056,49.81290347061833,-55.82485178937859,80.85730232869734,-32.1446680929555,29.49792747648039,-38.68538747448828,17.10322639454164,-5.256551504154003,26.31191483874644,83.87032875064098,8.545158784415205,66.94462689263344,41.53637565699121,71.20872777748613,42.74433587435968,56.87260885134448,24.21430505296481,-22.299349610873445,38.16280864015035,-16.193619643222174,37.47499986858283,10.243686115758537,153.15392279418663,-22.670084414576262,11.110152244871156,-2.026223917642723,-0.19161818560306537,-0.04990744448861731
10,f10o51_left,51,5557.761013697228,2726.4024855825314,5557.761013697228,2726.4024855825314,5557.761013697228,2726.4024855825314,5868.915581292908,2893.922869290399,5868.915599629464,2893.9228458215243,45.850903122087175,22.608772233009717,-38.11799991758099,30.149368008295628,-46.48598807714856,15.951712158153015,-54.66517614930376,-93.1249383958604,-90.18105115971329,-53.39280203017475,-53.36996499227516,-52.57156492810714,81.7342395698092,-117.1047606398514,25.22258288611227,-65.21112866349098,61.0928110947347,-44.79975989657139,4.5609954141378415,-29.49003799464015,0.3910708029933106,2.412443772882185,7.880164305244064,85.62955316319686,-4.254749599804253,69.18071867828793,26.214625063923567,75.21742753256306,27.48815733339208,60.33551271299256,18.53031999960817,-24.798485087957154,34.1786566513681,-23.563004454902636,37.02151125128874,16.699965241327135,156.93915301966905,-40.183712976585674,11.355427511976512,-2.8751705225565276,-0.1985038676316366,-0.05953686601307414
10,f10o61_left,61,4431.957827414637,4477.3660712019355,4431.957827414637,4477.3660712019355,4431.957827414637,4477.3660712019355,4665.581793894827,4746.377390998934,4665.581815756669,4746.3773680838285,36.449857935578784,37.08107318817952,-33.203518004236244,32.10489841532418,-40.3584289411765,17.283186316955913,-43.50114039772776,-104.05472541283982,-83.3172447680795,-62.87038795534293,-42.0728956740815,-64.40120269219987,57.89898511748956,-148.1490644863188,7.499065347127408,-81.56096661800473,47.34025193436336,-63.38329659394589,-15.618989972844762,-9.053558767411069,-10.659515876319249,14.376039636104624,-5.164448094162501,80.7323629940014,-13.644054507564931,66.67075934176823,13.945882857045959,72.33972529444175,15.486613045942136,56.69598012753602,14.674457869165892,-22.831212085560537,30.96480751838997,-24.47462053512461,34.47481941402708,20.267901356554592,152.50217490690562,-51.5602088003663,11.166567121010711,-3.0433973402033923,-0.194035871481926,-0.029627638005231334
10,f10o71_left,71,2918.05661547159,4692.471074996449,2918.05661547159,4692.471074996449,2918.05661547159,4692.471074996449,3055.8360941033666,4971.887619099901,3055.836112017979,4971.887604535804,23.87371962511836,38.842871910452494,-28.89187168098374,29.995560774578472,-35.143294625889276,15.249768645579616,-33.29503002609713,-106.16854346156576,-79.63607971076928,-72.36865435313484,-35.795773073471075,-77.4412917299181,47.514883850678416,-181.822556500414,-2.1163984721196094,-101.74982225536456,39.48847993311549,-83.96561871403749,-31.097976559368817,20.19318687885779,-16.75112705010487,30.240740229186237,-12.465102188345384,70.73298432744092,-19.264747387584112,60.89435837052255,5.439673198869581,63.94505812494046,7.463881771567298,47.150073296780405,11.55861560117766,-18.19787751099931,27.846476706695316,-19.330176813716978,30.431637261748374,17.868115187582,125.02975469460057,-38.333885375187656,9.270754260891769,-2.026213755994738,-0.19601520889243904,-0.03170843251273813
10,f10o81_left,81,1429.0903768931964,3443.551881110326,1429.0903768931964,3443.551881110326,1429.0903768931964,3443.551881110326,1482.968897517275,3648.0790208580647,1482.9689086918718,3648.0790145594697,11.585694599141473,28.500617301256977,-24.917248434603664,22.43951585070216,-30.788902069571687,6.501518189512567,-24.62070544603459,-91.54034631734609,-79.11793799250995,-78.6632133813104,-34.756273161105206,-89.1028067623131,49.75010048079671,-211.04188810207307,-3.1819431015521946,-123.72750457261115,40.99882879559823,-105.04452625129416,-38.68014735490328,53.31174143090502,-17.589507467218777,46.9894302096258,-14.974538704737526,58.02500574602239,-21.313855664402382,52.380740454413775,0.3889110445283881,54.42212186798613,3.2670289696635706,36.21689316692766,8.947796754791854,-13.329422131585936,24.349915562463217,-13.830967233995118,24.9765430070149,13.981055349589433,84.00215552308042,-21.30934609066127,6.657098434817339,-1.0373407418880969,-0.1847455960935989,-0.01418227114965939
20,f20o01_left,1,602.4617218896524,-3347.9527812450992,602.4617218896524,-3347.9527812450992,602.4617218896524,-3347.9527812450992,600.1080504088418,-3509.575025434835,600.1080317835543,-3509.5750346811806,4.688343998325927,-27.418554958443433,-51.90949994954249,11.008710914818394,-75.29679891117011,12.269091871335588,-89.82628155581813,-3.6999707526150534,-139.70698659857,-38.437479980644106,-130.2643254175739,-59.102208868957966,290.8016489937816,-120.55245840084169,153.65445052012768,-100.95472214898439,150.30206494540394,-69.59280593621486,129.1796227296149,100.36264491883509,97.45322681584207,68.62732925198907,101.08739134170774,-5.45556043957553,82.7370069309699,21.226909287730372,93.86288783398298,-14.478442585303277,72.86049527056122,-33.56208016842163,27.155214113110407,20.624941656107488,34.81081049224984,26.38823457560275,22.143631388978267,-22.37860786771264,21.101249213424307,99.04360432871556,1.3971284275603975,6.93046524782113,-0.16385466901224882,-0.040237870665927426
