Frequency,Image,Orientation,1st PC Layer 0,2nd PC Layer 0,1st PC Layer 1,2nd PC Layer 1,1st PC Layer 2,2nd PC Layer 2,1st PC Layer 3,2nd PC Layer 3,1st PC Layer 4,2nd PC Layer 4,1st PC Layer 5,2nd PC Layer 5,1st PC Layer 6,2nd PC Layer 6,1st PC Layer 7,2nd PC Layer 7,1st PC Layer 8,2nd PC Layer 8,1st PC Layer 9,2nd PC Layer 9,1st PC Layer 10,2nd PC Layer 10,1st PC Layer 11,2nd PC Layer 11,1st PC Layer 12,2nd PC Layer 12,1st PC Layer 13,2nd PC Layer 13,1st PC Layer 14,2nd PC Layer 14,1st PC Layer 15,2nd PC Layer 15,1st PC Layer 16,2nd PC Layer 16,1st PC Layer 17,2nd PC Layer 17,1st PC Layer 18,2nd PC Layer 18,1st PC Layer 19,2nd PC Layer 19,1st PC Layer 20,2nd PC Layer 20,1st PC Layer 21,2nd PC Layer 21,1st PC Layer 22,2nd PC Layer 22,1st PC Layer 23,2nd PC Layer 23,1st PC Layer 24,2nd PC Layer 24,1st PC Layer 25,2nd PC Layer 25
10,f10o01_right,1,1463.9049358780885,-3429.801936518639,1463.9049358780885,-3429.801936518639,1463.9049358780885,-3429.801936518639,1528.86716286942,-3630.8796093475066,1528.8671946685838,-3630.8795918004967,11.94427495830201,-28.36624681095845,-50.06254326285063,14.167342812603904,-71.48607936937573,13.364172047027166,-78.45915530007335,-17.089323396087146,-139.99088151016008,-49.35333831947541,-124.56663748017921,-67.75903234314015,273.8823238704269,-139.33706826949472,137.607583205952,-113.02339582694086,136.72438860475785,-75.55692230643221,111.24239159922972,93.31442420896043,91.22443701352003,74.38498426847576,93.29319107116532,4.2947213289250845,67.39157000775222,18.909089467362662,91.86093567290885,-1.4641463798489582,71.95376674979178,-31.905989104536285,26.591490130295966,-13.575436397102504,34.27981729742947,26.882403175439443,19.789916388272868,20.068894822345925,14.299954372183155,49.380244373590536,0.9531312162686912,3.225757899679166,-0.144339114447951,-0.07704863279283625
10,f10o11_right,11,2965.950711452479,-4661.040670262531,2965.950711452479,-4661.040670262531,2965.950711452479,-4661.040670262531,3118.599838599421,-4932.118657130727,3118.59988365026,-4932.11862150241,24.364061590954066,-38.53217673052498,-53.845835087850475,17.329459766128814,-70.25737104043172,13.795878825347266,-81.22278303796712,-26.715714730087157,-134.2156737066554,-45.239143560611204,-117.92318420358315,-54.947013680782554,253.3827672731443,-111.7243570135857,128.97099650029546,-87.81829986364798,141.9283807385719,-56.77808070139579,113.23870613464487,46.34391143475473,86.6790966802374,40.33630064990401,91.73454738518498,28.378434883386475,66.80991261204746,35.14190786994088,95.31748608146637,21.120369207452764,83.16578598155458,-0.5425007617202632,34.117070674199276,-1.6318472791180072,44.472303855475005,17.863887363600572,28.82953850352044,18.435295700983033,61.448729854482615,81.23389579468912,4.181447549942856,6.072932852033034,-0.09006470241142958,-0.049844761862897456
10,f10o21_right,21,4476.379320026936,-4430.57061904404,4476.379320026936,-4430.57061904404,4476.379320026936,-4430.57061904404,4723.8290492828,-4686.385559545755,4723.829102872752,-4686.38551141692,36.904914866136316,-36.61238680800322,-53.26869038759311,20.22594949507716,-66.01469790716244,13.83011440160641,-80.13244861150974,-41.57539176391006,-124.22965148360164,-42.04498045303325,-104.09221178091181,-45.91150678558853,213.2170786928502,-91.2234073557291,106.9711297680616,-67.0649070108757,130.88701070022728,-40.4165047802117,91.90364121899923,-1.6133130616664018,63.02100602317511,7.264709302555187,72.42491536697328,60.34524350886007,45.54487360291268,53.10256100972532,76.84241418080033,45.636364103081114,71.78746835593148,29.117150158077497,31.885965150091383,11.887893425796037,45.202754705193065,3.896533563439389,33.88481227424223,10.460807184028255,110.82881309428957,55.49633057939355,7.522040473208404,3.5321927773826687,-0.10544718283000944,-0.06567451376093332
10,f10o31_right,31,5583.7204482092575,-2666.524064071172,5583.7204482092575,-2666.524064071172,5583.7204482092575,-2666.524064071172,5902.760683662987,-2817.755519772669,5902.7607179832485,-2817.755456497561,46.11531810920899,-22.01371450396213,-48.97674532832513,23.21818289269355,-59.94437067686632,14.09674937072263,-74.38513361027748,-59.18067276598058,-111.85504587790616,-42.08467911214482,-86.12600657798191,-42.152683149411224,164.1137465030034,-84.7123374948685,78.27112409332076,-55.65621243555231,106.00962708982755,-30.47998208708394,58.247188646519604,-31.464559965853923,37.235501312447695,-7.804260441530624,46.65097653587722,78.18269532142452,22.238596797994344,65.02722825287643,54.60656490024913,64.340857052352,55.96176186582854,51.560925826570276,26.02264126520467,22.180855340276274,42.522130614854476,-7.964558208354272,36.98385818596161,1.0348820738505642,129.96013282473493,16.688467944634436,9.362408401667642,0.6160611494098752,-0.14459329850918068,-0.15087686861678004
10,f10o41_right,41,5981.31803009931,33.18107033188679,5981.31803009931,33.18107033188679,5981.31803009931,33.18107033188679,6324.98717875011,39.83857373869897,6324.98717832835,39.83864285766886,49.413962330685806,0.31123939724685973,-43.59406682889012,26.60806367732315,-53.066399155596976,14.908700023590201,-65.27629700237371,-77.11724864061361,-99.97365884526852,-46.26504588303271,-68.55883567761467,-44.837457355407764,118.68206495580215,-94.97845598211121,50.01723709396058,-55.83047325108263,81.25161405753217,-32.56567336968712,28.942520018046057,-39.078398774311914,16.408788909762727,-7.159480879424124,24.316912911690995,84.20006299326887,5.581390588822254,69.90292452037266,37.63336453649671,73.97806177909436,39.03507570253849,61.626390195912705,19.071901203872454,27.131618890851694,39.120578777257215,-18.295049418624604,38.776078757182525,-6.853460773172195,144.41379469342877,-8.320614793476036,10.325692023893422,-0.8800522326310858,-0.14265658214209012,-0.11028621677339359
10,f10o51_right,51,5557.759192002672,2726.4079350641105,5557.759192002672,2726.4079350641105,5557.759192002672,2726.4079350641105,5870.216267212862,2890.136868899682,5870.216238877015,2890.1369359271753,45.86106436625897,22.579194811860106,-38.14527465716732,29.933052312631375,-46.481489071146044,16.019689430751367,-54.60212349223091,-93.220462846032,-90.15349930052076,-53.42799288925425,-53.33504079958242,-52.62226773556554,81.68471551271172,-117.24944812224344,25.312990049645354,-65.28893125678472,61.15998776965116,-45.17942775391076,3.8442282018256724,-29.909810016629443,-0.04683836432842871,1.121357489304244,5.9519273179684,84.50904535485508,-7.539960097104852,69.49789302478224,20.74879102011655,76.65327992042829,22.235639104389815,63.39321308784473,12.774486806757913,28.895372430403427,34.87286547825002,-25.721975264096432,38.164848865088125,-13.365273410711223,149.67944224648357,-27.195292654702758,10.77774734045084,-1.8571727861022047,-0.1501527114735334,-0.10961998144218107
10,f10o61_right,61,4431.952762482469,4477.3694408421225,4431.952762482469,4477.3694408421225,4431.952762482469,4477.3694408421225,4668.865639987184,4743.245128727151,4668.865586568911,4743.245181478777,36.47551239513288,37.05660298024534,-33.20966329298519,31.913489812450887,-40.37946489416103,17.3291145049057,-43.52819318560876,-104.10561547067476,-83.32067026498561,-62.814153165462365,-42.078959404884685,-64.37999666215865,57.972416672816806,-148.22677237084136,7.586574354620499,-81.64598021512833,47.51278145005842,-63.66489534820466,-16.11622965400685,-9.347018751150557,-11.283301376595363,13.41115195023155,-6.652068459976077,78.51623274271833,-15.787004384492958,64.34571618607748,9.224991745801628,71.58767475419822,10.049066738600889,56.19544190590108,8.939848538730221,25.32317339005295,30.96537188653994,-24.23122175309103,34.41195483867258,-15.617830135285464,139.86504117650043,-38.77725355121147,10.168584218497548,-2.7337728784672075,-0.14423507737727573,-0.09616221604610267
10,f10o71_right,71,2918.0512621600665,4692.472470234042,2918.0512621600665,4692.472470234042,2918.0512621600665,4692.472470234042,3059.491042979722,4969.912730271856,3059.490978658038,4969.912760649016,23.9022732708314,38.82744344253334,-28.923085722655372,29.787787852535256,-35.15380827513717,15.224682942484243,-33.258927459765545,-106.11464552708787,-79.70075424054617,-72.45094093743043,-35.790205872624746,-77.5170192482542,47.56607668525057,-182.29126666457032,-1.9929472203701828,-101.95985491989927,39.219154149228345,-83.88620280147767,-31.765518533519618,19.319711009444386,-17.120146046856004,28.229384758254604,-13.955458376402621,67.01370633621109,-20.870023434028145,55.358703572092864,1.1229769361925854,61.75471576623023,1.7023133023468493,43.96546271131966,6.405248704306447,19.119015780812283,27.430863966024578,-17.352378188060474,29.69523413754357,-12.63916052503687,120.82905982601227,-27.085775041542533,9.178031891326546,-1.7468364778811596,-0.13804004266131115,-0.08715200342256027
10,f10o81_right,81,1429.0844369264908,3443.5511602619176,1429.0844369264908,3443.5511602619176,1429.0844369264908,3443.5511602619176,1485.7561937800722,3647.089748017793,1485.7561499569426,3647.089758629173,11.607469921583368,28.492888739270203,-24.952780017677778,22.29189237080849,-30.808321010957304,6.525737643882985,-24.61178965507333,-91.54081298862913,-79.15592082516665,-78.6866569543781,-34.83907633047649,-89.10498177966214,49.72304461876354,-211.27157028799607,-3.0483639877616087,-123.79261424113061,40.35311497156476,-104.56973898562012,-38.9506826639616,52.08828716979859,-17.018344788835446,44.723159508463965,-14.57109405765099,53.44718609827913,-21.09998888698276,44.26095821110351,-1.7001123568464878,51.00712180541481,-0.8935977560467476,30.385228426422845,5.160550202992346,11.954449300079656,24.46357473279471,-8.993978847094104,24.269663792860168,-7.256410209543404,77.331729959283,-4.337773769782925,6.330390999225075,-0.27772633585315837,-0.12505171459836417,-0.07077235928629551
20,f20o01_right,1,602.462472815286,-3347.9561890698697,602.462472815286,-3347.9561890698697,602.462472815286,-3347.9561890698697,597.6333475642173,-3510.4500821383867,597.6333780929707,-3510.4500749222334,4.669010766304725,-27.425391210336173,-51.91842047524727,10.939470628868376,-75.29827634353575,12.229159789588898,-89.77425715179247,-3.6592193259693784,-139.71940083760154,-38.47679809227366,-130.2980366508698,-59.06447078800473,290.8345934837583,-120.61316192140129,153.66879466234633,-100.96640417003348,150.17903323286203,-69.9577393660284,129.51086954850177,99.63874322472891,99.0433082632785,68.36569505932819,104.45156965100558,-9.675952844128132,85.63864123442183,9.688349343996569,95.34108938626524,-16.86647265811842,68.707191823884,-39.29668239208156,26.579696492279094,-18.724232764412793,30.19408230133142,30.718616929883197,15.659478203760584,24.373229906127015,9.939350815836644,71.77903424794005,0.5320044065423339,4.927031994040488,-0.07376615337445427,-0.04769207649980273
